time,car,microbus,autobus,camion
2015-03-26 07:37:00,24,5,2,0
2015-03-26 07:38:00,16,6,3,0
2015-03-26 07:39:00,26,3,3,2
2015-03-26 07:40:00,22,2,3,0
2015-03-26 07:41:00,15,5,2,1
2015-03-26 07:42:00,16,3,0,0
2015-03-26 07:43:00,16,3,3,0
2015-03-26 07:44:00,22,7,2,1
2015-03-26 07:45:00,22,6,0,0
2015-03-26 07:46:00,20,7,1,0
2015-03-26 07:47:00,18,2,3,0
2015-03-26 07:48:00,16,5,2,0
2015-03-26 07:49:00,12,5,5,0
2015-03-26 07:50:00,22,5,1,1
2015-03-26 07:51:00,14,4,4,0
2015-03-26 07:52:00,19,3,1,1
2015-03-26 07:53:00,18,3,0,0
2015-03-26 07:54:00,15,3,0,1
2015-03-26 07:55:00,20,7,1,0
2015-03-26 07:56:00,23,3,0,0
2015-03-26 07:57:00,19,3,0,0
2015-03-26 07:58:00,20,6,0,0
2015-03-26 07:59:00,9,2,1,0
2015-03-26 08:00:00,23,3,2,0
2015-03-26 08:01:00,19,6,3,0
2015-03-26 08:02:00,17,1,2,0
2015-03-26 08:03:00,15,3,0,0
2015-03-26 08:04:00,25,3,1,0
2015-03-26 08:05:00,12,5,2,0
2015-03-26 08:06:00,17,8,2,0
2015-03-26 08:07:00,18,5,1,1
2015-03-26 08:08:00,26,1,2,0
2015-03-26 08:09:00,21,4,2,0
2015-03-26 08:10:00,19,6,3,0
2015-03-26 08:11:00,25,3,1,0
2015-03-26 08:12:00,21,4,2,2
2015-03-26 08:13:00,21,4,2,0
2015-03-26 08:14:00,23,4,2,1
2015-03-26 08:15:00,19,3,4,0
2015-03-26 08:16:00,21,2,1,0
2015-03-26 08:17:00,12,8,2,0
2015-03-26 08:18:00,21,2,3,0
2015-03-26 08:19:00,30,8,1,0
2015-03-26 08:20:00,30,3,0,0
2015-03-26 08:21:00,22,1,1,0
2015-03-26 08:22:00,16,4,6,1
2015-03-26 08:23:00,25,5,1,0
2015-03-26 08:30:00,23,4,4,0
2015-03-26 08:31:00,10,3,1,0
2015-03-26 08:32:00,23,4,1,0
2015-03-26 08:33:00,14,5,3,0
2015-03-26 08:34:00,15,4,0,1
2015-03-26 08:35:00,20,4,0,0
2015-03-26 08:36:00,21,1,0,0
2015-03-26 08:37:00,15,1,2,0
2015-03-26 08:38:00,22,4,0,0
2015-03-26 08:39:00,19,0,1,1
2015-03-26 08:40:00,23,5,1,1
2015-03-26 08:41:00,18,1,1,0
2015-03-26 08:42:00,19,6,2,0
2015-03-26 08:43:00,22,1,2,0
2015-03-26 08:44:00,28,3,5,1
2015-03-26 08:45:00,30,3,2,0
2015-03-26 08:46:00,33,3,2,1
2015-03-26 08:47:00,26,4,2,0
2015-03-26 08:48:00,14,3,3,1
2015-03-26 08:49:00,18,4,0,0
2015-03-26 08:50:00,19,4,2,0
2015-03-26 08:51:00,14,1,1,0
2015-03-26 08:52:00,11,2,2,0
2015-03-26 08:53:00,20,1,1,2
2015-03-26 08:54:00,20,3,0,0
2015-03-26 08:55:00,5,4,0,1
2015-03-26 08:56:00,18,1,2,1
2015-03-26 08:57:00,10,0,0,2
2015-03-26 08:58:00,22,3,2,1
2015-03-26 09:00:00,22,2,3,0
2015-03-26 09:01:00,22,5,1,1
2015-03-26 09:02:00,18,9,0,0
2015-03-26 09:03:00,8,3,0,0
2015-03-26 09:04:00,23,3,0,2
2015-03-26 09:05:00,12,3,4,1
2015-03-26 09:06:00,25,4,1,0
2015-03-26 09:07:00,21,3,2,1
2015-03-26 09:08:00,20,4,1,0
2015-03-26 09:09:00,21,3,3,0
2015-03-26 09:10:00,22,5,1,2
2015-03-26 09:11:00,24,3,2,0
2015-03-26 09:12:00,22,6,3,0
2015-03-26 09:13:00,24,7,6,0
2015-03-26 09:14:00,26,2,3,0
2015-03-26 09:15:00,17,1,2,0
2015-03-26 09:16:00,23,4,3,0
2015-03-26 09:17:00,19,2,3,0
2015-03-26 09:18:00,29,1,0,1
2015-03-26 09:19:00,14,6,3,1
2015-03-26 09:20:00,26,1,0,0
2015-03-26 09:21:00,21,6,3,0
2015-03-26 09:22:00,26,3,3,0
2015-03-26 09:23:00,24,5,5,0
2015-03-26 09:24:00,26,5,2,0
2015-03-26 09:25:00,27,0,2,1
2015-03-26 09:26:00,30,2,2,0
2015-03-26 09:27:00,21,3,1,0
2015-03-26 09:28:00,30,3,1,2
2015-03-26 09:29:00,6,1,0,0
2015-03-26 09:30:00,16,4,3,1
2015-03-26 09:31:00,15,4,2,0
2015-03-26 09:32:00,28,2,1,1
2015-03-26 09:33:00,15,4,1,1
2015-03-26 09:34:00,22,3,3,0
2015-03-26 09:35:00,15,4,1,0
2015-03-26 09:36:00,17,0,1,1
2015-03-26 09:37:00,13,0,3,1
2015-03-26 09:38:00,19,1,3,0
2015-03-26 09:39:00,14,8,2,0
2015-03-26 09:40:00,17,5,1,1
2015-03-26 09:41:00,14,4,1,1
2015-03-26 09:42:00,21,5,1,0
2015-03-26 09:43:00,14,5,2,1
2015-03-26 09:44:00,21,3,2,1
2015-03-26 09:45:00,20,2,1,0
2015-03-26 09:46:00,24,3,3,0
2015-03-26 09:47:00,11,5,4,1
2015-03-26 09:48:00,20,6,0,0
2015-03-26 09:49:00,21,2,2,1
2015-03-26 09:50:00,18,1,2,2
2015-03-26 09:51:00,27,4,2,0
2015-03-26 09:52:00,17,2,1,0
2015-03-26 09:53:00,16,5,2,1
2015-03-26 09:54:00,13,4,2,2
2015-03-26 09:55:00,11,3,2,2
2015-03-26 09:56:00,14,5,2,1
2015-03-26 09:57:00,19,3,1,0
2015-03-26 09:58:00,11,5,0,0
2015-03-26 09:59:00,18,5,1,1
2015-03-26 10:00:00,19,2,2,2
2015-03-26 10:01:00,21,4,0,0
2015-03-26 10:02:00,19,4,1,0
2015-03-26 10:03:00,11,2,3,0
2015-03-26 10:04:00,13,7,4,0
2015-03-26 10:05:00,14,2,4,0
2015-03-26 10:06:00,12,4,3,0
2015-03-26 10:07:00,21,3,3,0
2015-03-26 10:08:00,15,1,4,0
2015-03-26 10:09:00,19,2,2,1
2015-03-26 10:10:00,24,5,1,0
2015-03-26 10:11:00,14,0,0,0
2015-03-26 10:12:00,12,5,3,0
2015-03-26 10:13:00,25,9,0,2
2015-03-26 10:14:00,15,3,2,1
2015-03-26 10:15:00,28,3,2,0
2015-03-26 10:16:00,17,1,3,3
2015-03-26 10:17:00,19,2,3,0
2015-03-26 10:18:00,20,6,0,1
2015-03-26 10:19:00,18,2,1,0
2015-03-26 10:20:00,17,6,1,0
2015-03-26 10:21:00,14,5,1,1
2015-03-26 10:22:00,17,2,1,1
2015-03-26 10:23:00,13,2,4,0
2015-03-26 10:24:00,17,1,1,0
2015-03-26 10:25:00,20,4,2,2
2015-03-26 10:26:00,14,0,6,1
2015-03-26 10:27:00,19,4,3,0
2015-03-26 10:28:00,14,4,0,1
2015-03-26 10:29:00,20,3,4,1
2015-03-26 10:30:00,24,3,1,0
2015-03-26 10:31:00,15,2,1,0
2015-03-26 10:32:00,10,7,1,0
2015-03-26 10:33:00,10,3,0,0
2015-03-26 10:34:00,17,1,5,0
2015-03-26 10:35:00,12,4,0,1
2015-03-26 10:36:00,20,4,1,0
2015-03-26 10:37:00,14,4,0,1
2015-03-26 10:38:00,9,3,2,1
2015-03-26 10:39:00,10,5,3,1
2015-03-26 10:40:00,17,5,1,0
2015-03-26 10:41:00,15,6,1,0
2015-03-26 10:42:00,8,2,1,2
2015-03-26 10:43:00,11,1,3,0
2015-03-26 10:44:00,17,1,0,0
2015-03-26 10:45:00,12,2,2,0
2015-03-26 10:46:00,15,2,0,2
2015-03-26 10:47:00,8,2,2,0
2015-03-26 10:48:00,16,3,0,0
2015-03-26 10:49:00,12,1,0,0
2015-03-26 10:50:00,20,5,1,0
2015-03-26 10:51:00,23,3,1,2
2015-03-26 10:52:00,18,4,3,1
2015-03-26 10:53:00,20,4,1,0
2015-03-26 10:54:00,10,1,2,1
2015-03-26 10:55:00,13,2,4,0
2015-03-26 10:56:00,12,2,3,1
2015-03-26 10:57:00,14,2,1,1
2015-03-26 10:58:00,9,2,2,1
2015-03-26 10:59:00,2,0,2,0
2015-03-26 11:00:00,8,5,2,0
2015-03-26 11:01:00,14,3,4,2
2015-03-26 11:02:00,19,6,1,1
2015-03-26 11:03:00,14,4,1,0
2015-03-26 11:04:00,14,5,1,1
2015-03-26 11:05:00,10,6,2,0
2015-03-26 11:06:00,7,1,6,0
2015-03-26 11:07:00,16,3,1,0
2015-03-26 11:08:00,11,5,3,0
2015-03-26 11:09:00,18,3,1,1
2015-03-26 11:10:00,8,6,2,4
2015-03-26 11:11:00,21,2,0,0
2015-03-26 11:12:00,11,7,0,0
2015-03-26 11:13:00,20,4,1,1
2015-03-26 11:14:00,10,2,1,0
2015-03-26 11:15:00,17,1,1,1
2015-03-26 11:16:00,9,3,1,2
2015-03-26 11:17:00,13,3,2,0
2015-03-26 11:18:00,12,3,3,0
2015-03-26 11:19:00,9,3,2,1
2015-03-26 11:20:00,13,1,0,0
2015-03-26 11:21:00,15,4,0,0
2015-03-26 11:22:00,17,3,2,1
2015-03-26 11:23:00,19,4,0,1
2015-03-26 11:24:00,12,3,3,1
2015-03-26 11:25:00,12,2,0,0
2015-03-26 11:26:00,15,3,1,1
2015-03-26 11:27:00,9,1,4,0
2015-03-26 11:28:00,12,2,0,0
2015-03-26 11:30:02,15,6,1,0
2015-03-26 11:31:00,11,4,1,1
2015-03-26 11:32:00,14,1,1,0
2015-03-26 11:33:00,13,2,1,0
2015-03-26 11:34:00,22,2,1,0
2015-03-26 11:35:00,21,0,4,0
2015-03-26 11:36:00,11,1,3,1
2015-03-26 11:37:00,9,4,1,0
2015-03-26 11:38:00,13,4,4,0
2015-03-26 11:39:00,8,3,3,0
2015-03-26 11:40:00,14,3,1,2
2015-03-26 11:41:00,5,1,4,0
2015-03-26 11:42:00,16,4,3,1
2015-03-26 11:43:00,17,3,1,2
2015-03-26 11:44:00,9,2,0,0
2015-03-26 11:45:00,12,8,1,1
2015-03-26 11:46:00,13,2,1,1
2015-03-26 11:47:00,9,1,2,0
2015-03-26 11:48:00,11,3,0,1
2015-03-26 11:49:00,16,4,4,0
2015-03-26 11:50:00,17,4,3,2
2015-03-26 11:51:00,8,6,0,1
2015-03-26 11:52:00,14,0,0,0
2015-03-26 11:53:00,6,2,0,0
2015-03-26 11:54:00,19,0,1,0
2015-03-26 11:55:00,13,2,3,0
2015-03-26 11:56:00,13,6,2,1
2015-03-26 11:57:00,7,2,2,1
2015-03-26 11:58:00,9,5,1,0
2015-03-26 11:59:00,12,2,1,1
2015-03-26 12:00:10,11,3,0,0
2015-03-26 12:01:00,21,4,3,0
2015-03-26 12:02:00,12,5,1,1
2015-03-26 12:03:00,15,1,4,0
2015-03-26 12:04:00,6,0,0,2
2015-03-26 12:05:00,10,5,0,0
2015-03-26 12:06:00,12,6,2,0
2015-03-26 12:07:00,10,3,0,0
2015-03-26 12:08:00,10,4,3,2
2015-03-26 12:09:00,7,3,1,1
2015-03-26 12:10:00,12,3,3,2
2015-03-26 12:11:00,10,5,4,0
2015-03-26 12:12:00,9,2,2,0
2015-03-26 12:13:00,10,4,2,1
2015-03-26 12:14:00,14,3,0,0
2015-03-26 12:15:00,10,2,1,1
2015-03-26 12:16:00,15,2,1,1
2015-03-26 12:17:00,10,6,0,0
